
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.045",="0.086***",="0.351***",="0.005***",="0.015***",="0.290***",="0.281***",="-0.267*",="-0.041*",="-0.283***",="-0.012",="0.628***",="0.348***",="0.478**",="0.332***",="-0.049",="0.094"
="",="(0.071)",="(0.011)",="(0.073)",="(0.001)",="(0.002)",="(0.068)",="(0.067)",="(0.108)",="(0.019)",="(0.080)",="(0.019)",="(0.070)",="(0.038)",="(0.156)",="(0.070)",="(0.052)",="(0.334)"

="N",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87"
="R-sq",="0.006",="0.443",="0.457",="0.299",="0.652",="0.254",="0.250",="0.060",="0.040",="0.186",="0.004",="0.402",="0.486",="0.193",="0.329",="0.029",="0.005"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
